timestamp,dMax,dMin,dsum
00000,484402560.0,33952.062,1215308065769086.5
01132,484402560.0,33952.062,1215315393233976.0
02263,484402560.0,33952.047,1215332485654478.5
03372,484402560.0,33952.035,1215361267981305.5
04447,569124000.0,33952.008,1216072084973914.0
05435,495083330.0,33951.98,1216584786793452.5
06256,491775420.0,33951.953,1216494173967361.5
06981,491925800.0,33951.926,1216517140950512.5
07613,489445860.0,33951.89,1216154503169049.0
08156,489406530.0,33951.863,1216169507427185.5
08634,491960030.0,33951.83,1216509941966088.0
09052,491816420.0,33951.8,1216508326332578.5
09414,491824540.0,33951.77,1216518840717438.5
09736,491884740.0,33951.742,1216523276774627.0
10026,491889500.0,33951.715,1216525347772495.0
10285,491875230.0,33951.688,1216531265252722.5
10531,491863680.0,33951.656,1216535250220193.0
10762,491877000.0,33951.63,1216504874238167.0
10971,491902880.0,33951.6,1216419612772397.5
11164,491901400.0,33951.574,1216344169982292.5
11346,491854100.0,33951.547,1216353694669262.5
11517,491817760.0,33951.516,1216438168400191.5
11678,491812160.0,33951.492,1216560988167269.0
11828,491830240.0,33951.46,1216529846696386.5
11967,491847870.0,33951.434,1216502106976948.5
12097,491855200.0,33951.4,1216406224967284.0
12217,491854560.0,33951.37,1216388884714204.5
12331,491854340.0,33951.34,1216449622037822.0
12446,491860400.0,33951.312,1216469658593549.0
12560,491865540.0,33951.28,1216489012462116.0
12670,491862270.0,33951.246,1216501633124407.5
12787,491839780.0,33951.215,1216511607220395.5
12906,491744400.0,33951.184,1216518626325089.5
13026,491643460.0,33951.156,1216519348167626.5
13146,491650080.0,33951.125,1216523448177729.0
13266,491771550.0,33951.09,1216538760475543.0
13382,491949300.0,33951.06,1216554385875201.0
13492,492609000.0,33265.043,1216576367549379.5
13597,493903420.0,33626.94,1216597241087415.0
13698,494294200.0,32814.906,1216608160655314.5
13795,494112350.0,33559.348,1216623617726973.5
13891,493954600.0,33280.066,1216641588576476.5
13989,493823170.0,33404.355,1216654546503334.0
14083,493696420.0,33495.11,1216665467194553.5
14173,493569250.0,33499.45,1216681338013802.0
