timestamp,dMax,dMin,dsum
00000,0.0,0.0,0.0
01132,0.93602455,-9.2429873e-32,786.657724365466
02263,0.93834704,-2.2191774e-30,2465.5752716413713
03372,0.9549234,-2.0132059e-28,4779.778698239727
04447,0.97265035,-1.04955e-29,7442.855727418914
05435,0.9778693,-8.431099e-30,10088.255986590719
06256,0.9834625,-3.872491e-29,12278.957328846029
06981,0.98459727,-3.2068016e-29,14095.728102430869
07613,0.9773386,-2.3764016e-30,15516.360025974733
08156,0.9756399,-2.7688119e-30,16578.23832382461
08634,0.95989263,-1.3820906e-30,17436.27883416182
09052,0.96121496,-5.3389095e-30,18277.312391740044
09414,0.9610119,-8.154988e-31,19073.591608810773
09736,0.9618121,-1.7663597e-30,19793.47767147633
10026,0.96144193,-5.3764866e-30,20450.5108577584
10285,0.96143675,-6.376598e-30,21060.83926401026
10531,0.96046084,-3.6233186e-30,21674.278256178895
10762,0.96050227,-4.3776154e-30,22290.58228660904
10971,0.954587,-5.1826775e-30,22922.686200374377
11164,0.95593536,-9.76919e-30,23556.677350554975
11346,0.9475701,-1.1140939e-29,24199.794415027452
11517,0.9474229,-1.5134105e-30,24841.80450774807
11678,0.9456258,-4.7216042e-30,25447.406828646563
11828,0.9447263,-3.577607e-30,26050.59420770985
11967,0.94506305,-5.213137e-30,26626.42631760333
12097,0.9440784,-4.3805194e-30,27182.9139502627
12217,0.9442805,-1.4311673e-29,27707.15334462346
12331,0.94441515,-2.5985115e-30,28159.491417672136
12446,0.94470716,-7.4215085e-31,28493.988427497803
12560,0.9430415,-6.1015266e-31,28767.34046272797
12670,0.9428794,-5.4786444e-31,28969.013600199098
12787,0.9427544,-2.2968413e-30,29150.4003102397
12906,0.94072616,-2.432409e-30,29304.999391624664
13026,0.93892527,-4.155903e-30,29426.885192023554
13146,0.9387148,-6.4060026e-30,29551.493616904518
13266,0.940018,-9.0680365e-30,29652.13512472734
13382,0.93733317,-1.9246559e-30,29723.78087708059
13492,0.93691707,-4.921364e-30,29814.155480958147
13597,0.93924487,-1.10964726e-29,29902.655018432026
13698,0.9348594,-5.9387242e-30,29979.447070638027
13795,0.9376143,-3.67101e-28,30055.433351431388
13891,0.93642956,-6.0746027e-30,30154.357153347115
13989,0.9377783,-8.850783e-30,30233.07368488528
14083,0.93450046,-1.2211279e-29,30327.546801937046
14173,0.9358928,-5.7848157e-30,30391.780567418067
14265,0.9532037,-3.1198698e-30,30480.211796371925
14354,0.96386015,-3.329925e-30,30556.28807798435
14439,0.9628916,-3.4968162e-30,30591.150408345587
14524,0.9695406,-5.3498696e-30,30615.734601179123
14607,0.9631526,-4.6869217e-30,30619.717523375824
14689,0.96622247,-5.4793328e-30,30619.16861429468
14776,0.96077347,-6.4284e-30,30630.132534357967
14855,0.9600248,-3.6287906e-30,30679.14577317223
14935,0.9606476,-2.1254483e-29,30718.75875704013
15019,0.9498641,-3.6417327e-30,30810.2103589622
15101,0.9586323,-3.6178677e-30,30909.204239415565
15185,0.96408063,-3.5699474e-30,31063.077241432435
15269,0.96008855,-3.5002863e-30,31230.712582825472
15353,0.9624094,-3.4102306e-30,31408.768743610584
15440,0.95213395,-3.2988818e-30,31598.970207393846
15529,0.9530683,-1.2689087e-30,31813.17767622839
15620,0.95297146,-1.3227724e-30,32084.719227200385
15713,0.9494231,-1.3784281e-30,32317.04441709388
15809,0.95809865,-1.4372724e-30,32627.78800863155
15907,0.9656101,-1.49864565e-30,32914.36843165312
16010,0.965519,-1.5622941e-30,33279.79863345378
16115,0.9612815,-1.6296516e-30,33707.70851987905
16222,0.9649521,-1.699978e-30,34180.12417452541
16332,0.9668877,-2.0385797e-30,34613.84799122201
16444,0.9670495,-1.8520762e-30,35017.73942100394
16561,0.9670585,-1.9343692e-30,35419.25570062298
16678,0.968998,-2.147129e-30,35768.58133414523
16798,0.9692861,-4.2362398e-30,36137.101248266874
16920,0.9696553,-2.8977542e-30,36463.04925661701
17044,0.9697481,-3.0187242e-30,36764.714375662945
17170,0.97014576,-3.3840173e-30,37049.186228461585
17298,0.9700418,-3.7949355e-30,37327.30434773922
17427,0.9694588,-4.255403e-30,37603.7808476048
17558,0.9689793,-4.7745082e-30,37856.609593206485
17691,0.9699716,-5.3586078e-30,38065.52417434687
17825,0.96963507,-2.9356939e-30,38283.16618022026
17961,0.96828824,-3.279148e-30,38455.63821728785
18098,0.96884495,-3.661093e-30,38599.07989130064
18236,0.96870345,-4.089583e-30,38708.79919870559
18376,0.968524,-4.5800717e-30,38777.461603381926
18518,0.9671802,-5.1494725e-30,38846.83071526705
18661,0.967752,-5.82345e-30,38931.916288164415
18805,0.9676911,-2.8701654e-30,39004.97559288788
18950,0.9667684,-2.9039066e-30,39072.92866712632
19095,0.9666769,-3.2825223e-30,39141.69371371985
19243,0.96690744,-3.740891e-30,39158.86358660492
19395,0.9662727,-4.295725e-30,39089.90669811927
19550,0.9661539,-4.9841754e-30,39061.282327993875
19707,0.9661186,-5.846531e-30,39134.84780668333
19859,0.9663129,-6.8626e-30,39173.98038262981
20009,0.96508205,-8.01542e-30,39206.26351792739
20159,0.9656984,-9.3164476e-30,39310.03726344716
20312,0.9651722,-1.0748445e-29,39392.91484407473
20464,0.9650928,-1.2332579e-29,39405.47547530354
20613,0.9651255,-1.4073483e-29,39229.79527863167
20766,0.96538395,-1.5978163e-29,38992.16073259151
20920,0.96494305,-1.8039086e-29,38778.52712280434
21069,0.9655078,-4.767799e-30,38672.03183807289
21214,0.9657778,-4.2647917e-30,38637.53883336333
21357,0.96613985,-3.443619e-30,38637.533172173564
21501,0.96690243,-3.591547e-30,38677.94747354885
21644,0.96706414,-3.7333614e-30,38830.704100946925
21788,0.96800846,-3.8609445e-30,38970.76361372354
21933,0.9686139,-3.971763e-30,38937.484364635755
22079,0.9696054,-4.060396e-30,38599.32754018009
22223,0.9692048,-4.125181e-30,38113.04991437698
22366,0.9703493,-4.1616856e-30,37452.17180852398
22510,0.97110945,-4.165767e-30,36788.2200928127
22656,0.9698661,-4.134311e-30,35952.5403553897
22804,0.9714898,-4.065246e-30,34942.90230952804
