timestamp,dMax,dMin,dsum
00000,0.026469387,0.0187,573381.1585332733
01141,1.0039023,0.018388798,575406.325760832
02286,1.0745051,0.018621733,580724.5056877453
03429,1.2174901,0.018699275,588842.1791458726
04566,1.1604258,0.018699005,599495.4101354703
05700,1.1884152,0.018698964,612298.9455010779
06817,1.0783565,0.01869886,626523.8157419767
07920,1.1316866,0.01869887,641507.0389938354
08948,2.3499675,0.018695805,656209.2804849036
09782,1.9469554,0.018694002,669764.0913126562
10487,1.8140035,0.018692877,682507.7244716771
11091,1.5779468,0.018695451,694312.5460360739
11642,1.4383775,0.018693862,705278.1419714298
12244,1.2671084,0.018695433,715760.8396141268
12818,1.1454006,0.018695561,726011.1812468208
13306,0.9672121,0.018694142,735910.4171153978
13751,0.97160476,0.018695997,745354.6990450304
14156,0.9196166,0.018691177,754199.4716873877
14509,0.8377199,0.018693972,762384.7708568461
14854,0.77880687,0.018695105,770096.25503169
15159,0.74309707,0.018693699,777287.8130194228
15422,0.7282582,0.01869564,784107.0018659718
15674,0.68164045,0.01869435,790629.6984585449
15905,0.6755923,0.01869642,796849.4449378904
16118,0.6689596,0.018694261,802701.7760967538
16317,0.6568036,0.018696008,808281.6169321202
16514,0.64225805,0.01869676,813646.4221089017
16709,0.61969393,0.01869683,818816.0496374127
16898,0.6159488,0.018697578,823719.0278387032
17079,0.6148389,0.01869786,828419.1109341439
17260,0.60375607,0.018697513,833181.7115649898
17432,0.5780777,0.01869697,837926.4336542562
17602,0.5744865,0.018696912,842700.851828061
17777,0.57026166,0.018697504,847455.6327126492
17954,0.5631158,0.018697698,852131.9946063589
18124,0.5526689,0.018698698,856783.805065142
18278,0.54913235,0.018699182,861370.369037889
18432,0.5459775,0.018699208,865881.3026883062
18592,0.5420862,0.018699232,870384.0598040204
18741,0.5416348,0.01869923,874820.2791143432
18883,0.5374381,0.018699223,879205.3868493196
19021,0.5354805,0.018699225,883587.7016947325
19159,0.53394085,0.018699234,887889.7717516664
19304,0.53114855,0.018699221,892160.6922232304
19450,0.5291176,0.018699238,896393.6008070521
19599,0.52806836,0.018699165,900566.1857868023
19749,0.5260817,0.018699177,904669.5450720154
19902,0.52492183,0.018699214,908660.0077703316
20060,0.52243143,0.018699229,912614.3633963
20221,0.52151626,0.018699273,916501.0989767518
20384,0.51958895,0.018699255,920342.3713449538
20550,0.51808697,0.018699257,924143.2189041786
20721,0.5138015,0.018699253,927923.8712821119
20894,0.5130448,0.018699272,931611.8228864744
21073,0.5113833,0.018699272,935281.6678844374
21255,0.5099724,0.018699279,938882.3906141054
21441,0.5092061,0.018699264,942450.3013560362
21630,0.50885415,0.01869931,945994.123161763
21820,0.50768,0.018699294,949493.5985745825
22010,0.50674367,0.018699316,952956.8473438285
22198,0.5062733,0.018699277,956380.7268174496
22388,0.50539035,0.018699285,959770.0573865622
22578,0.50448734,0.0186993,963113.9847245719
22769,0.50427806,0.018699296,966433.1439125668
22960,0.50348,0.018699339,969642.2064680569
23151,0.5026262,0.0186993,972734.4758469202
23341,0.50178206,0.018699303,975776.8242333587
23530,0.5000126,0.018699313,978789.1303589828
23719,0.49876308,0.018699382,981515.0994639844
23907,0.49641067,0.01869932,984017.6409604829
24095,0.49368802,0.018699327,986342.20090417
24282,0.49162483,0.018699298,988489.1724485885
24466,0.48907417,0.01869932,990502.3464861605
24647,0.48481992,0.018699333,992312.2784167789
24826,0.48281384,0.018699333,993918.4393666442
25004,0.48008302,0.018699337,995286.0821309295
25176,0.47520536,0.018699316,996472.4942699745
25342,0.4728552,0.018699294,997438.8899278976
25505,0.47251275,0.018699327,998150.3111395501
25659,0.47090432,0.018699285,998527.9824681878
25809,0.4689627,0.01869933,998849.3609995451
25958,0.4676526,0.018699333,998943.2275435384
26103,0.46639368,0.018699307,998912.4819165617
26248,0.4652277,0.01869931,998744.5193332788
26393,0.46240938,0.01869936,998470.106881177
26538,0.46108165,0.018699305,998074.9190541785
26683,0.46010262,0.018699322,997594.7285874952
26829,0.4586057,0.018699348,997000.6248575356
26974,0.45747593,0.018699298,996313.9806693178
27119,0.4566838,0.018699268,995527.6433576997
27262,0.45596325,0.018699298,994681.5401238892
27405,0.45425233,0.018699301,993795.9317081049
27547,0.45060068,0.0186993,992846.657666333
27689,0.4493585,0.018699294,991867.5829724763
27830,0.4484497,0.018699294,990851.624714125
27970,0.4471424,0.018699283,989791.1584769934
28108,0.44466102,0.018699262,988703.0504908953
28245,0.44207335,0.018699259,987579.7827945389
28381,0.43900213,0.018699242,986384.3065433037
28516,0.43269786,0.01869924,985108.3875004463
28649,0.43001387,0.01869924,983731.6501941066
28783,0.42558387,0.018699236,982201.7017705012
28915,0.42564586,0.018699216,980572.8477142807
29047,0.4243484,0.01869921,978850.5093405526
29178,0.42347288,0.018699205,977064.4904053845
29308,0.42313808,0.018699199,975208.0902827289
29438,0.4228857,0.018699206,973252.7763123475
29566,0.42282367,0.018699186,971230.2097271793
29693,0.4228144,0.018699199,969132.282993516
29818,0.42180753,0.018699178,966988.6189666446
29945,0.42114493,0.018699175,964773.2747848667
30068,0.42254895,0.018699178,962474.2712438311
30192,0.4233894,0.018699167,960015.156788785
30314,0.42365846,0.01869914,957460.2363060676
30435,0.4231131,0.018699137,954810.9214278683
30557,0.4218241,0.018699164,952062.7560791131
30679,0.4224942,0.01869915,949195.9081775825
30798,0.4215349,0.018699124,946246.4713490754
30919,0.42171022,0.018699113,943213.9846674483
31037,0.42092547,0.018699126,940191.343226634
31153,0.41878718,0.01869912,937144.168858856
31270,0.417801,0.018699097,934071.8700216003
31387,0.4171265,0.018699102,931038.4630034398
31503,0.41450417,0.018699113,928001.69910991
31620,0.41385657,0.0186991,924937.5199298542
31737,0.4144607,0.018699083,921859.4959107209
31854,0.4124865,0.018699069,918746.5241403487
31971,0.40838143,0.018699089,915610.6064015124
32088,0.40686342,0.018699104,912458.730763346
32204,0.40779707,0.018699052,909306.7130415756
32319,0.40764847,0.018699061,906122.1354704387
32432,0.40788612,0.01869905,902988.329519745
32547,0.40709403,0.018699065,899837.6694794521
32662,0.40634707,0.018699033,896720.93404858
32778,0.4043721,0.018699015,893612.6660402287
32895,0.40433732,0.018699028,890522.1006712411
33012,0.40391323,0.018699024,887468.6543039959
33130,0.40256527,0.018699016,884427.8049835078
33248,0.3999266,0.018699007,881397.818347184
33366,0.3969776,0.01869898,878342.3173633981
33484,0.39268285,0.018699013,875236.4734416958
33602,0.3881436,0.018699018,872105.73738035
33719,0.3876366,0.018699037,869011.0209087655
33836,0.38790497,0.018660339,865955.8627791516
33953,0.38731086,0.018590407,862951.8017660026
34070,0.3852223,0.01852214,860003.3903740328
34187,0.38128102,0.018455653,857120.677982688
34304,0.36908013,0.018390091,854312.9721378069
34421,0.35578555,0.018324785,851581.3220751304
34537,0.3556696,0.018262072,848962.0371696204
34654,0.3555125,0.018200409,846399.0522935018
34770,0.35547477,0.01813967,843905.6670068894
34883,0.3554945,0.018081248,841445.5376623385
34996,0.35268852,0.01802523,839036.3652615082
35110,0.3552888,0.017968398,836682.4832822885
35222,0.35261595,0.01791237,834402.0344028715
35332,0.3521391,0.017845532,832166.6612535454
35439,0.3413744,0.01777415,830001.8444884215
35546,0.34959733,0.017702937,827859.9705131352
35652,0.3400062,0.017633302,825776.3740108069
35758,0.34265295,0.01756633,823743.154618742
35863,0.34116498,0.017503005,821754.2559912931
35967,0.34012893,0.01744277,819804.6939817574
