timestamp,dMax,dMin,dRange
00000,1.0,0.0,1.0
01141,1.0,0.0,1.0
02286,1.0,0.0,1.0
03429,1.0,0.0,1.0
04566,1.0,0.0,1.0
05700,1.0,0.0,1.0
06817,1.0,0.0,1.0
07920,1.0,0.0,1.0
08948,1.0,0.0,1.0
09782,1.0,-2.5339424e-29,1.0
10487,1.0,-2.4901893e-33,1.0
11091,1.0,-5.8224105e-30,1.0
11642,1.0,-6.910878e-28,1.0
12244,1.0,-7.107784e-28,1.0
12818,1.0,-1.5935284e-27,1.0
13306,1.0,-9.228601e-29,1.0
13751,1.0,-1.3333778e-27,1.0
14156,1.0,-6.447402e-28,1.0
14509,1.0,-8.636871e-28,1.0
14854,1.0,-1.5861745e-26,1.0
15159,1.0,-1.7182627e-27,1.0
15422,1.0,-3.309054e-26,1.0
15674,1.0,-1.1643676e-26,1.0
15905,1.0,-1.3734369e-27,1.0
16118,1.0,-1.8567373e-27,1.0
16317,1.0,-2.6523632e-27,1.0
16514,1.0,-1.8362361e-27,1.0
16709,1.0,-5.224656e-27,1.0
16898,1.0,-6.4270717e-27,1.0
17079,1.0,-1.294938e-26,1.0
17260,1.0,-2.2870813e-26,1.0
17432,1.0,-1.5538579e-27,1.0
17602,1.0,-2.4629713e-27,1.0
17777,1.0,-1.0711242e-26,1.0
17954,1.0,-2.2150022e-27,1.0
18124,1.0,-1.6913507e-27,1.0
18278,1.0,-5.4679e-27,1.0
18432,1.0,-1.00291785e-26,1.0
18592,1.0,-1.6110755e-26,1.0
18741,1.0,-7.251897e-27,1.0
18883,1.0,-4.2453343e-27,1.0
19021,1.0,-1.0836241e-26,1.0
19159,1.0,-4.4956174e-27,1.0
19304,1.0,-9.252669e-27,1.0
19450,1.0,-7.07096e-26,1.0
19599,1.0,-7.968994e-27,1.0
19749,1.0,-2.5857998e-26,1.0
19902,1.0,-6.281657e-27,1.0
20060,1.0,-1.05405314e-26,1.0
20221,1.0,-1.02796495e-25,1.0
20384,1.0,-2.93489e-26,1.0
20550,1.0,-1.057744e-25,1.0
20721,1.0,-3.6111704e-26,1.0
20894,1.0,-2.2822718e-26,1.0
21073,1.0,-9.6304324e-26,1.0
21255,1.0,-6.299362e-26,1.0
21441,1.0,-4.5844484e-25,1.0
21630,1.0,-8.0038284e-26,1.0
21820,1.0,-9.0127155e-26,1.0
22010,1.0,-9.721911e-25,1.0
22198,1.0,-9.1868227e-26,1.0
22388,1.0,-1.0593868e-25,1.0
22578,1.0,-1.2724832e-25,1.0
22769,1.0,-1.4623662e-25,1.0
22960,1.0,-1.6692363e-25,1.0
