timestamp,dMax,dMin,dsum
00000,484402560.0,10506.566,1215308065440015.0
01141,484402560.0,5414.7183,1215324379797417.0
02286,484402560.0,33076.74,1215360876463410.0
03429,535053120.0,33952.035,1215430544935434.0
04617,1420546400.0,33952.008,1215821066819402.5
05789,1309863700.0,33951.98,1216521953765600.5
06813,1123151500.0,33951.953,1217161746245115.0
07678,727780800.0,33951.926,1217650864718490.5
08415,615261300.0,33951.89,1218040342973513.0
09113,1865533600.0,33951.863,1218518771275409.5
09709,968821200.0,33951.83,1219220890311563.5
10207,617167900.0,33951.8,1219895486784936.0
10642,509678370.0,33951.77,1220092462842157.5
11032,502183680.0,33951.742,1220468964438335.5
11370,484402560.0,33951.715,1220910449622569.5
11662,484402560.0,33951.684,1221336639457713.0
11910,484402560.0,33951.656,1221889326263967.0
12143,484402560.0,33951.63,1222216104257744.0
12364,484402560.0,33951.598,1222601047238157.5
12578,487950370.0,33951.57,1222960506574490.5
12806,503162140.0,33951.543,1223292404278073.0
13018,518461200.0,33951.51,1223600312322678.0
13216,538550300.0,33951.484,1223878887567918.5
13405,558535800.0,33951.457,1225516556367240.5
13592,586896400.0,33951.434,1225398804633326.0
13768,718079170.0,33951.402,1225277599421832.0
13925,700481300.0,33951.375,1226134993948507.0
14063,673844100.0,33951.344,1226127155379857.5
14199,648419700.0,33951.312,1226506161055402.0
14333,614886500.0,33951.28,1226656813985217.0
14458,591911000.0,33620.004,1227170361443212.5
14572,575616640.0,33657.973,1227137171496859.0
14690,566042200.0,33332.133,1227357036215250.0
14817,555924800.0,33359.684,1227514762798208.0
14955,548980800.0,33303.367,1227654153328780.0
15103,543551400.0,33213.203,1227734697336161.5
15258,538841340.0,32174.482,1227822829670613.0
15418,534696480.0,33188.176,1227871642367284.5
15587,530932000.0,33262.57,1227962372884989.0
15763,527595300.0,33371.285,1228032852757345.0
15944,524587000.0,33331.38,1228038241313080.5
16136,521803700.0,21133.027,1227916900195194.0
16342,520328130.0,21123.996,1227431129026580.5
16556,518565020.0,21115.156,1226708897383177.5
16774,516189600.0,21104.627,1225857303627386.5
16997,513889600.0,21082.873,1224930332066558.5
17223,514213860.0,21059.814,1224342510171472.2
17455,517079700.0,21095.963,1223686103480588.0
17690,515194500.0,21120.238,1222969521146127.5
17925,515343100.0,21131.002,1222319065641168.5
18156,514700030.0,21131.797,1221693701564364.5
18390,514828600.0,21218.186,1221119499316560.5
18626,513932030.0,33409.28,1220581134768207.5
18861,512645300.0,33403.785,1220050769871224.0
19093,511717600.0,33090.637,1219565891419840.5
19322,510935100.0,33403.395,1219109294516949.0
19550,510264580.0,33411.977,1218691692200034.0
19778,509394530.0,33189.656,1218294187222124.5
