timestamp,dMax,dMin,dsum
00000,0.026469387,0.0187,573381.1585332733
01141,1.0037394,0.01838879,575406.3600606788
02286,1.0744528,0.018621737,580724.489321284
03429,1.2173351,0.018699275,588842.2318303213
04617,2.0859752,0.018699007,602985.0830560066
05789,2.0038412,0.018698957,628503.1256735288
06813,1.5741779,0.018698892,665226.9041269347
07678,1.1441182,0.018696945,701806.0910664983
08415,1.1037863,0.018697511,734264.7316013165
09113,1.7858918,0.018695464,763041.058028575
09709,1.4843365,0.018697556,786932.6190234516
10207,1.4172717,0.018695205,807739.9341851436
10642,1.2800975,0.018697413,827099.743547814
11032,1.1813344,0.018696565,845785.2421743628
11370,1.0985465,0.01869807,864108.0500963535
11662,1.0406724,0.018696263,882080.7703293227
11910,1.014355,0.018697267,899516.4546031449
12143,1.0017982,0.018698277,916382.5891513731
12364,0.9777457,0.018698145,932647.5626265649
12578,0.96883506,0.018698774,948330.4226040766
12806,0.9656275,0.018698819,963814.7147629615
13018,0.93849796,0.018698972,979064.3567231
13216,0.919385,0.0186988,994082.7440982554
13405,0.9011196,0.018698888,1008913.8049594797
13592,0.8786848,0.018699199,1023487.9783454873
13768,0.870196,0.018699102,1038012.7069915887
13925,0.85620666,0.018699206,1052488.8346676081
14063,0.8473126,0.018699188,1067183.9972412623
14199,0.8359305,0.018699134,1081807.433646569
14333,0.824045,0.018699186,1096570.159532003
14458,0.8151338,0.018699227,1111375.779025685
14572,0.8052903,0.018699128,1126106.0928865615
14690,0.79711515,0.018699214,1140892.4248391427
14817,0.78769743,0.01869922,1155596.0007470902
14955,0.7806042,0.0186992,1170283.633186886
15103,0.77939504,0.018699177,1184970.193730604
15258,0.77201307,0.018699199,1199546.0965251476
15418,0.7617735,0.018699218,1214402.5073769502
15587,0.7580528,0.018699246,1229711.3681860901
15763,0.7542267,0.01869917,1245218.6126726642
15944,0.7482472,0.018699193,1260786.3979601562
16136,0.7422141,0.018699234,1276413.011301551
16342,0.7357758,0.018699234,1292017.2518177573
16556,0.7337045,0.018699264,1307409.8045018408
16774,0.7305174,0.018699247,1322684.0782032441
16997,0.72778344,0.01869923,1337881.099727422
17223,0.72419065,0.018699339,1353049.5060315784
17455,0.7172857,0.01869925,1368331.893794844
17690,0.71415585,0.018699314,1383681.1432436183
17925,0.70871913,0.018699234,1399215.919474367
18156,0.70597863,0.018699298,1414738.0041659921
18390,0.7034742,0.018699259,1430324.781003425
18626,0.70165104,0.018699272,1445932.4042674396
18861,0.69862235,0.018699206,1461578.7959548477
19093,0.69254774,0.018699272,1477187.5708288923
19322,0.6912464,0.018699287,1492728.8608179297
19550,0.6896004,0.018699223,1508264.4914954882
19778,0.6843567,0.018699279,1523636.2818272468
20007,0.681944,0.018699283,1538902.333186837
20233,0.68089247,0.018699214,1553848.8420952968
26446,0.6301993,0.018699205,1807071.5562098287
26632,0.62754375,0.01869923,1809593.8787520658
26817,0.6274325,0.01869921,1812032.5205771904
27003,0.6270175,0.018699216,1814263.2906903569
27190,0.6259918,0.018699143,1816279.5383215062
27377,0.62457925,0.01869914,1817976.8534700163
27564,0.6229923,0.018699208,1819530.7796904836
27751,0.6235977,0.018699165,1820917.9100387525
27941,0.62185174,0.018699156,1821914.5648487378
28130,0.6196569,0.01869913,1822735.2113619763
28320,0.61978996,0.01869919,1823375.9171335325
28506,0.6179481,0.018699104,1823935.3238144405
28693,0.61580867,0.01869918,1824396.0561615154
28882,0.61659,0.018699177,1824774.0426573101
29072,0.61441976,0.018699158,1824968.1495871954
29263,0.61583155,0.018699182,1825008.51605176
29449,0.6151772,0.018699156,1824769.0011834092
29638,0.6125506,0.01869916,1824132.877453044
29827,0.6130755,0.018699154,1823508.8505855426
30015,0.6115703,0.018699178,1822743.359044956
