timestamp,dMax,dMin,dsum
00000,0.9883586,0.0,7.556453024968505
01141,0.960716,-5.406649e-33,1434.7353511365568
02286,0.95362115,-6.819676e-30,4178.826659434593
03429,0.9645006,-4.2639826e-30,7990.831360454647
04617,0.988431,-4.8477944e-30,14186.849127282796
05789,0.9874233,-8.779402e-30,26587.69940989079
06813,0.9886541,-1.8289515e-29,33075.733683258535
07678,0.9844079,-1.20934994e-29,33989.23542746636
08415,0.9848285,-1.8181727e-30,35982.098215652084
09113,0.9768296,-1.09626566e-29,38173.98725123557
09709,0.97470814,-2.3013087e-30,39148.724176774325
10207,0.9735956,-6.5281795e-30,39550.37432014615
10642,0.97465235,-7.143295e-30,41873.22554755362
11032,0.9756408,-5.3922002e-30,45345.76488159782
11370,0.97635525,-7.949222e-30,48851.728983378
11662,0.97699594,-2.8324467e-30,52016.865115314395
11910,0.9774284,-9.81517e-30,54960.42822542812
12143,0.9775557,-5.149153e-30,57783.0437668318
12364,0.97781795,-6.948541e-30,60685.15287115336
12578,0.97757465,-1.920042e-30,63546.61437155031
12806,0.97735023,-1.988644e-30,66461.84680508997
13018,0.97895074,-3.5053986e-30,69399.97648869728
13216,0.97756463,-6.471852e-30,72318.21585750282
13405,0.9778395,-1.4729345e-29,75336.15896016535
13592,0.9796673,-5.993949e-29,78483.00653937837
13768,0.98175406,-6.752147e-30,81741.96717702573
13925,0.9783655,-2.1376613e-30,85042.38218972868
14063,0.9783521,-1.9223232e-30,88397.49651043408
14199,0.97846836,-8.6558266e-30,91698.77907897218
14333,0.98559916,-1.3176617e-29,95033.1567163787
14458,0.986224,-2.659676e-30,98558.83500503271
14572,0.9813333,-5.854587e-30,102172.0849198777
14690,0.98801655,-3.5848466e-30,105830.13408794462
14817,0.98767394,-4.8156028e-30,109589.03571785198
14955,0.98969287,-6.3899534e-30,113305.68122517204
15103,0.9894819,-1.14148815e-29,117230.24207035654
15258,0.994711,-1.0512178e-29,121305.22109713088
15418,0.995073,-1.6596516e-28,125396.49242174828
15587,0.9945969,-3.341498e-29,129428.48086703772
15763,0.9961776,-1.6864574e-28,133494.62398539553
15944,0.99573416,-4.7758633e-28,137579.73903363035
16136,0.9960533,-2.2963991e-27,141677.87374478296
16342,0.99615973,-4.1145107e-29,145657.832683679
16556,0.99627584,-1.2678765e-28,149738.16893155026
16774,0.9962419,-2.8570213e-28,153552.59017759343
16997,0.9961234,-5.088165e-28,157334.6937270016
17223,0.9957622,-7.59912e-28,161173.10447907433
17455,0.9951256,-9.9817415e-28,165011.62187239595
17690,0.99507374,-1.2165085e-27,168901.91972330844
17925,0.9945628,-4.8072394e-29,172721.99625864945
18156,0.994033,-6.1227245e-29,176558.3021821066
18390,0.99326,-8.062131e-29,180266.01987455835
18626,0.9925628,-1.0079662e-28,183887.39093238363
18861,0.9935463,-1.1086943e-28,187374.94056809897
19093,0.994134,-1.4588452e-28,190773.9850223535
19322,0.9942125,-1.0137204e-28,193987.76661615266
19550,0.99476945,-8.9582615e-29,197145.03717419718
19778,0.99606395,-7.744139e-29,200146.28631229696
20007,0.99296045,-6.633742e-29,202998.46136346535
20233,0.99698913,-5.710109e-29,205651.9380953615
26446,0.98562616,-3.777987e-29,274126.19238240615
26632,0.98032,-3.9077985e-29,275369.98000358004
26817,0.979345,-4.0441492e-29,276514.28386621183
27003,0.97936255,-4.1964668e-29,277584.6107908631
27190,0.98544455,-5.780972e-29,278615.3234059707
27377,0.9824088,-3.400709e-29,279912.6597014328
27564,0.9872654,-3.5063815e-29,281146.3797951016
27751,0.98437864,-3.5440545e-29,282273.2418595202
27941,0.9864791,-5.981717e-29,283606.60659082653
28130,0.9888065,-3.7100158e-29,284936.1347140758
28320,0.9904033,-4.8775876e-29,286259.42994145607
28506,0.9918865,-6.391332e-29,287323.8405986194
28693,0.9896618,-3.0378593e-29,288328.4064438389
28882,0.9905775,-2.8671412e-29,289074.65146630997
29072,0.9913567,-2.6895693e-29,289884.83240272023
29263,0.9864555,-2.5183582e-29,290659.9738801233
29449,0.9899446,-2.3568679e-29,291395.68455753534
29638,0.9906709,-2.2071442e-29,292270.128345187
29827,0.9897066,-1.7594878e-28,292806.27220278746
30015,0.9915463,-5.56103e-28,293215.2184809904
30205,0.99123883,-9.459037e-28,293372.5013357285
30395,0.9888631,-1.3266602e-27,293620.330593701
30587,0.9918943,-1.6141258e-29,293873.60684221867
30778,0.99413484,-1.6676391e-29,294356.3447293117
30966,0.99290186,-2.2182614e-29,294867.2883282965
31152,0.99287635,-2.8567584e-29,295522.504405633
31335,0.99300766,-1.54244e-29,296353.8832287843
31516,0.9966178,-1.7484418e-29,296929.8081027331
31695,0.99480075,-1.9977996e-29,297584.08374070906
32043,0.9968825,-4.043288e-29,298772.8064330204
32210,0.9933775,-6.854188e-29,299197.5874960412
32374,0.9942732,-1.3496897e-29,299654.33931637125
32535,0.9945875,-2.5820227e-29,300330.6531197809
32693,0.99446815,-8.8585796e-30,301109.4537845889
32848,0.994206,-1.505078e-29,301776.15033375757
33002,0.9957668,-4.216375e-29,302384.94493486505
33156,0.9975282,-1.5418801e-29,302940.9547279018
33309,0.9964257,-2.1288285e-29,303325.6725758949
33462,0.99530286,-2.0935603e-29,303671.7284494058
33620,0.99598473,-2.8313803e-29,303734.59311764763
33784,0.99609184,-3.650815e-29,303848.11946227483
33953,0.9961411,-4.558468e-29,303939.86234113935
34121,0.99602026,-5.729968e-29,303818.0849077729
34289,0.9964879,-7.270244e-29,303555.2128381586
34455,0.99664074,-9.3088054e-29,303192.2247980032
34619,0.9971763,-1.9990704e-29,303014.28292506695
34783,0.9966333,-2.576914e-29,302690.4025073949
34948,0.9962748,-1.1578072e-29,302436.2301542325
35110,0.9964088,-9.198517e-30,302185.3738802152
35270,0.9965329,-1.0621279e-29,302092.626154465
35425,0.99721617,-8.111755e-30,302097.9684194328
35580,0.9974418,-1.3407235e-29,302223.18375648715
35736,0.99737066,-2.0053434e-29,302437.8223797466
35894,0.9982708,-2.8123317e-29,302837.08862684126
36053,0.998233,-9.8375456e-30,303221.92857721774
36210,0.99755543,-1.5320696e-29,303671.34250265366
36361,0.99822164,-2.2494248e-29,304229.34312142566
36513,0.9987602,-3.0961418e-29,304947.56886409805
