timestamp,dMax,dMin,dsum
00000,1.0,0.0,4860000.0
01132,1.0,0.0,4860000.0
02263,1.0,0.0,4860000.0
03372,1.0,0.0,4860000.0
04447,1.0,0.0,4860000.0
05435,1.0,0.0,4860000.0
06256,1.0,0.0,4860000.00000213
06981,1.0,0.0,4859999.914171441
07613,1.0,0.0,4859999.908813354
08156,1.0,0.0,4859999.9088134505
08634,1.0,0.0,4859999.908813452
09052,1.0,0.0,4859999.908813456
09414,1.0,0.0,4859999.908813793
09736,1.0,0.0,4859999.88735623
10026,1.0,0.0,4859999.839094729
10285,1.0,0.0,4859999.764063927
10531,1.0,0.0,4859999.742535386
10762,1.0,0.0,4859999.747829905
10971,1.0,0.0,4859999.742537199
11164,1.0,0.0,4859999.742591754
11346,1.0,0.0,4859998.900378149
11517,1.0,0.0,4859995.257859012
11678,1.0,0.0,4859991.301026925
11828,1.0,0.0,4859989.089169548
11967,1.0,0.0,4859988.628333929
12097,1.0,0.0,4859988.491456437
12217,1.0,0.0,4859988.568345148
12331,1.0,-7.122194e-30,4859989.01616899
12446,1.0,0.0,4859991.510336394
12560,1.0,0.0,4859993.114734387
12670,1.0,0.0,4859993.509600518
12787,1.0,0.0,4859993.606425692
12906,1.0,-9.139902e-28,4859992.115666757
13026,1.0,0.0,4859989.834215715
13146,1.0,0.0,4859986.970322521
13266,1.0,-9.976739e-29,4859984.530443305
13382,1.0,0.0,4859982.319615393
13492,1.0,0.0,4859980.304241626
13597,1.0,-2.6132453e-30,4859978.4543198235
13698,1.0,-5.1407546e-30,4859976.764209914
13795,1.0,0.0,4859975.082476616
13891,1.0,-2.3272117e-31,4859973.388393274
13989,1.0,-2.6012477e-30,4859971.861488539
14083,1.0,-3.5399914e-31,4859970.355720021
14173,1.0,-8.4487543e-29,4859968.853802394
14265,1.0,0.0,4859967.376020411
14354,1.0,-6.3994686e-29,4859965.910739968
14439,1.0,-2.6963084e-32,4859964.360132586
14524,1.0,-2.2725798e-32,4859962.238783717
14607,1.0,-1.060089e-29,4859959.364183051
14689,1.0,-9.8578947e-29,4859956.263586769
14776,1.0,-1.4417916e-27,4859953.514708493
14855,1.0,-3.4225882e-27,4859951.625545559
14935,1.0,-4.459712e-30,4859950.20219463
15019,1.0,-2.5999804e-32,4859948.903536052
15101,1.0,-4.0731477e-29,4859947.7872307
15185,1.0,-2.0616652e-27,4859946.778045473
15269,1.0,-1.2199725e-30,4859945.743617055
