timestamp,dMax,dMin,dRange
00000,484402560.0,10506.566,484392060.0
01141,484402560.0,5417.551,484397150.0
02286,484402560.0,33074.477,484369470.0
03429,534970100.0,33952.035,534936160.0
04566,644117000.0,33952.008,644083000.0
05700,620441000.0,33951.98,620407100.0
06817,597630500.0,33951.953,597596600.0
07920,741509760.0,33951.926,741475840.0
08948,29766390000.0,33951.89,29766355000.0
09782,7025231000.0,33951.863,7025197000.0
10487,3889631700.0,21121.04,3889610500.0
11091,2655905800.0,21076.977,2655884800.0
11642,2050121900.0,21027.566,2050100900.0
12244,1696858600.0,20983.275,1696837600.0
12818,1475693000.0,20957.395,1475672000.0
13306,1327045500.0,20955.305,1327024500.0
13751,1223922200.0,20965.924,1223901200.0
14156,1150873500.0,21045.059,1150852500.0
14509,1099025800.0,21108.29,1099004700.0
14854,1061149300.0,21125.31,1061128200.0
15159,1637422800.0,33951.55,1637388900.0
15422,1554772900.0,33951.523,1554739000.0
15674,1471293000.0,33951.492,1471259100.0
15905,1396992600.0,33951.46,1396958700.0
16118,1329970000.0,33951.434,1329936100.0
16317,1273107300.0,33951.402,1273073400.0
16514,1222080600.0,33951.375,1222046700.0
16709,1172726500.0,33951.344,1172692600.0
16898,1129502100.0,33951.312,1129468200.0
17079,1088134800.0,33951.28,1088100900.0
17260,1048696640.0,33951.25,1048662700.0
17432,1008322200.0,32682.049,1008289500.0
17602,969572800.0,33612.137,969539200.0
17777,934412500.0,33568.184,934378900.0
17954,904702850.0,33575.965,904669250.0
18124,879129700.0,33292.445,879096450.0
18278,856110700.0,33355.156,856077400.0
18432,835572350.0,21128.855,835551200.0
18592,816259840.0,21075.674,816238800.0
18741,798588350.0,21034.5,798567300.0
18883,782565300.0,21002.463,782544300.0
19021,767002100.0,20973.14,766981100.0
19159,753039600.0,20943.744,753018700.0
19304,740335400.0,20915.436,740314500.0
19450,728218800.0,20889.777,728197950.0
19599,716622100.0,20866.877,716601200.0
19749,810095550.0,20846.572,810074700.0
19902,803634370.0,20828.877,803613600.0
20060,793887700.0,20813.432,793866900.0
20221,784103200.0,20799.955,784082370.0
20384,772813200.0,20788.18,772792400.0
20550,762950300.0,20774.645,762929500.0
20721,752610940.0,20764.486,752590200.0
20894,742945300.0,20778.11,742924500.0
21073,733073900.0,20762.838,733053200.0
21255,721727000.0,20755.346,721706240.0
21441,713723800.0,20759.95,713703040.0
21630,704429900.0,20839.879,704409000.0
21820,694588160.0,20777.617,694567360.0
22010,685337900.0,20722.973,685317200.0
22198,677650560.0,20674.775,677629900.0
22388,670689860.0,20630.494,670669250.0
22578,664397950.0,20588.266,664377340.0
22769,658505800.0,20549.35,658485250.0
22960,653555260.0,20531.414,653534700.0
23151,648729800.0,20533.188,648709250.0
23341,643511800.0,20566.273,643491260.0
23530,636788160.0,20632.947,636767550.0
23719,632241800.0,20780.195,632221000.0
23907,629165760.0,20872.086,629144900.0
24095,662452000.0,20942.07,662431040.0
24282,673176400.0,21006.15,673155400.0
24466,714378200.0,21040.445,714357100.0
24647,666310100.0,21064.129,666289000.0
24826,643753540.0,21081.543,643732500.0
25004,693157250.0,21097.938,693136100.0
25176,611702300.0,21103.857,611681150.0
25342,603996740.0,21113.701,603975600.0
25505,607737800.0,21119.332,607716700.0
25659,607284350.0,21125.963,607263200.0
25809,600683900.0,21129.98,600662800.0
25958,587479940.0,21133.203,587458800.0
26103,579424500.0,21132.736,579403400.0
26248,576272260.0,21128.842,576251140.0
26393,572288060.0,21125.54,572266940.0
26538,571219500.0,21134.383,571198400.0
26683,568271400.0,21134.803,568250300.0
26829,575872600.0,21108.643,575851460.0
26974,593489200.0,21084.773,593468160.0
27119,556940540.0,21078.75,556919500.0
27262,564135550.0,21068.656,564114500.0
27405,564052600.0,21078.812,564031550.0
27547,568333000.0,21059.932,568311940.0
27689,567243840.0,21061.814,567222800.0
27830,566266240.0,21114.062,566245100.0
27970,572536600.0,21112.965,572515460.0
28108,579289600.0,21130.588,579268500.0
28245,583138800.0,21097.59,583117700.0
28381,584264000.0,21129.389,584242900.0
28516,585230500.0,21132.059,585209400.0
28649,591431700.0,21134.412,591410560.0
28783,595978900.0,33530.246,595945340.0
28915,596663200.0,21133.28,596642050.0
29047,594993300.0,21131.787,594972160.0
29178,594640260.0,33532.797,594606700.0
29308,597021000.0,33536.69,596987460.0
29438,597622100.0,33534.773,597588540.0
29566,608153150.0,33468.94,608119700.0
29693,606715970.0,21133.693,606694850.0
29818,607492300.0,33290.613,607459000.0
29945,601717570.0,30609.79,601687000.0
30068,583594800.0,32906.81,583561900.0
30192,585549060.0,33289.24,585515800.0
30314,593235100.0,33460.42,593201600.0
30435,598289340.0,33462.867,598255900.0
30557,596918850.0,33479.72,596885400.0
30679,599145900.0,33494.855,599112450.0
30798,597895940.0,33500.574,597862460.0
30919,600113200.0,33469.06,600079740.0
31037,613401600.0,33466.555,613368100.0
31153,639840200.0,33477.113,639806700.0
31270,621482300.0,33154.664,621449150.0
